occ_code,occ_title,tot_emp,a_mean
11-3021,Computer and Information Systems Managers,288660,123280
15-0000,Computer and Mathematical Occupations,3283950,77230
15-1111,Computer and Information Research Scientists,24900,103150
15-1121,Computer Systems Analysts,495800,81250
15-1131,Computer Programmers,333620,74900
15-1132,"Software Developers, Applications",499280,90410
15-1133,"Software Developers, Systems Software",378920,97960
15-1141,Database Administrators,104080,75730
15-1142,Network and Computer Systems Administrators*,333210,72200
15-1150,Computer Support Specialists,579270,49930
15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",243330,79370
15-1799,"Computer Occupations, All Other*",183110,79790
17-2061,Computer Hardware Engineers,66960,101600
17-2072,"Electronics Engineers, Except Computer",133660,92730
25-1021,"Computer Science Teachers, Postsecondary",33080,78190
43-9011,Computer Operators,82410,38340
43-9071,"Office Machine Operators, Except Computer",66580,28610
49-2011,"Computer, Automated Teller, and Office Machine Repairers",110320,39080
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",123600,35890
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",16360,48400
