year,total_employment,avg_annual_salary
2001,2550040,63057
2002,2577420,66072
2003,2594750,66784
2004,2814290,67678
2005,2855320,69605
2006,2969510,72132
2007,3083130,75146
2008,3198050,77429
2009,3196930,79443
2010,6502900,71093
2011,6719940,72211
2012,14659350,73388
2013,15080540,75093
2014,15532340,76890
2015,16089740,79034
2016,16584180,80975
2017,16915240,82829
2018,17355520,84480
2019,17837530,89113
2020,17815440,91688
2021,17896110,94770
2022,19030880,101082
2023,19570210,105098
2024,19593400,107547
